product,category,unit,price,estimated_cost_cop,description
Margarita,Coctelería,unit,34000,11900,"Tequila Olmeca, Triple Sec, zumo de limón, jarabe de goma, Finest Call"
Margarita Blue,Coctelería,unit,34000,11900,"Tequila Olmeca, Blue Curaçao, zumo de limón, jarabe de goma, Finest Call"
Margarita en Llamas,Coctelería,unit,34000,11900,"Tequila Olmeca, Triple Sec, ginebra Beefeater, licor de cerezas"
Margarita Ardiente,Coctelería,unit,34000,11900,"Tequila Olmeca, aguardiente de anís, zumo de limón, jarabe de goma, jalapeños"
Piel de Iguana,Coctelería,unit,34000,11900,"Vodka Absolut, licor de kiwi, zumo de limón, jarabe de goma, Sprite"
Long Island,Coctelería,unit,38000,13300,"Ron Blanco, ginebra Beefeater, tequila Olmeca, Triple Sec, zumo de limón, té o Coca Cola"
Dulce María,Coctelería,unit,34000,11900,"Vodka Absolut, amaretto, helado de chocolate"
Cosmopolitan,Coctelería,unit,34000,11900,"Vodka Absolut Citron, Triple Sec, jugo de arándano"
Gold Martini,Coctelería,unit,34000,11900,"Tequila Olmeca, Triple Sec, piel de naranja"
White Lady,Coctelería,unit,36000,12600,"Ginebra Beefeater, Triple Sec, zumo de limón, jarabe de goma"
Tom Collins,Coctelería,unit,34000,11900,"Ginebra Beefeater, zumo de limón, jarabe de jengibre, soda"
Gin Tonic,Coctelería,unit,34000,11900,"Ginebra Beefeater, agua tónica, limón"
Dry Martini,Coctelería,unit,34000,11900,"Ginebra Beefeater, vermut extra dry, aceitunas"
Dirty Martini,Coctelería,unit,34000,11900,"Ginebra Beefeater, vermut extra dry, jugo de aceituna"
Sangría Margarita,Coctelería,unit,34000,11900,"Vino, amaretto, brandy, frutos rojos, frutos secos"
Alexander,Coctelería,unit,34000,11900,"Brandy, licor de cacao, crema de leche"
Vin Broule,Coctelería,unit,34000,11900,"Vino Cabernet Sauvignon, vermut rosso, brandy, naranja, especias"
Old Fashioned,Coctelería,unit,34000,11900,"Jack Daniel's, angostura bitter, piel de naranja y limón, turbinado de azúcar, soda"
Manhattan,Coctelería,unit,34000,11900,"Jack Daniel's, vermut rosso, gotas amargas"
Mojito,Coctelería,unit,34000,11900,"Ron Blanco, Finest Call mojito, hierbabuena, zumo de limón, jarabe de goma, soda"
Bayless Frozen,Coctelería,unit,34000,11900,"Crema de whisky, ron dorado, helado de vainilla, crema de leche"
Hervido con Aguardiente,Coctelería,unit,20000,7000,"Mora, lulo o maracuyá con aguardiente"
Hervido con Ron,Coctelería,unit,20000,7000,"Mora, lulo o maracuyá con ron"
Hervido con Brandy,Coctelería,unit,20000,7000,"Mora, lulo o maracuyá con brandy"
Hervido con Tequila,Coctelería,unit,25000,8750,"Mora, lulo o maracuyá con tequila"
Olmeca Altos,Tequila,trago,20000,7000,"Tequila premium mexicano"
Olmeca Altos,Tequila,med,110000,60500,"Tequila premium mexicano"
Olmeca Altos,Tequila,bot,180000,99000,"Tequila premium mexicano"
Olmeca Tradicional,Tequila,bot,290000,159500,"Tequila tradicional mexicano"
Don Julio Añejo,Tequila,bot,580000,319000,"Tequila añejo premium"
Don Julio 70,Tequila,bot,850000,467500,"Tequila cristalino edición especial"
Jimador,Tequila,med,130000,71500,"Tequila 100% agave"
Jimador,Tequila,bot,220000,121000,"Tequila 100% agave"
José Cuervo,Tequila,trago,20000,7000,"Tequila tradicional"
José Cuervo,Tequila,med,110000,60500,"Tequila tradicional"
José Cuervo,Tequila,bot,180000,99000,"Tequila tradicional"
Beefeater,Ginebra,bot,260000,143000,"Ginebra London Dry"
Hendrick's,Ginebra,bot,390000,214500,"Ginebra premium con pepino y pétalos de rosa"
Tanqueray,Ginebra,bot,300000,165000,"Ginebra London Dry premium"
Bacardí Limón,Ron,bot,160000,88000,"Ron blanco con sabor a limón"
Ron Viejo de Caldas,Ron,bot,130000,71500,"Ron colombiano tradicional"
Absolut Mandrin,Vodka,bot,190000,104500,"Vodka sabor mandarina"
Absolut,Vodka,bot,180000,99000,"Vodka sueco premium"
Smirnoff Red,Vodka,bot,130000,71500,"Vodka triple destilado"
Smirnoff Lulo,Vodka,bot,130000,71500,"Vodka sabor lulo"
Smirnoff Shot,Bebida,trago,15000,5250,"Shot de vodka"
Royal Salute,Whisky,bot,1500000,825000,"Whisky escocés de lujo 21 años"
Chivas 18,Whisky,bot,550000,302500,"Whisky escocés 18 años"
Chivas 12,Whisky,trago,35000,12250,"Whisky escocés 12 años"
Chivas 12,Whisky,med,180000,99000,"Whisky escocés 12 años"
Chivas 12,Whisky,bot,300000,165000,"Whisky escocés 12 años"
Buchanan's Master,Whisky,bot,360000,198000,"Whisky escocés premium"
Buchanan's 12,Whisky,med,180000,99000,"Whisky escocés 12 años"
Buchanan's 12,Whisky,bot,320000,176000,"Whisky escocés 12 años"
Old Parr,Whisky,bot,310000,170500,"Whisky escocés premium"
Blue Label,Whisky,med,800000,440000,"Whisky escocés ultra premium"
Blue Label,Whisky,bot,1500000,825000,"Whisky escocés ultra premium"
Black Label,Whisky,bot,320000,176000,"Whisky escocés 12 años"
Red Label,Whisky,bot,150000,82500,"Whisky escocés blended"
Jameson,Whisky,med,130000,71500,"Whisky irlandés"
Jameson,Whisky,bot,220000,121000,"Whisky irlandés"
Ballantine's,Whisky,bot,180000,99000,"Whisky escocés blended"
Double Black,Whisky,bot,320000,176000,"Whisky escocés ahumado"
Jack Daniel's,Whisky,bot,300000,165000,"Whisky Tennessee"
Jack Honey,Whisky,bot,300000,165000,"Whisky Tennessee con miel"
Jack Fire,Whisky,bot,300000,165000,"Whisky Tennessee con canela"
Baileys,Licores,bot,160000,88000,"Crema de whisky irlandés"
Casillero del Diablo,Vino,bot,100000,45000,"Vino chileno reserva"
Gato Negro,Vino,bot,100000,45000,"Vino chileno"
Corona,Cerveza,bot,14000,7000,"Cerveza mexicana"
Club Colombia,Cerveza,bot,10000,5000,"Cerveza colombiana"
Stella Artois,Cerveza,bot,14000,7000,"Cerveza belga premium"
Heineken,Cerveza,bot,14000,7000,"Cerveza holandesa"
Vaso Michelado,Bebida,unit,3000,1500,"Preparación tradicional"
Agua,Bebida,unit,5000,2500,"Agua embotellada"
Gaseosa,Bebida,unit,6000,3000,"Bebida gaseosa"
Tónica,Bebida,unit,8000,4000,"Agua tónica"
Soda,Bebida,unit,8000,4000,"Agua con gas"
Red Bull,Bebida,unit,15000,7500,"Bebida energizante"
Gaseosa 1.5L,Bebida,unit,15000,7500,"Gaseosa presentación grande"
Bomba,Bebida,unit,12000,6000,"Bebida energizante"
Papas de la Casa,Entradas,unit,15000,4950,"Papas a la francesa cubiertas de queso y tocineta, acompañadas de salsas de la casa"
Chorizo Santarrosano,Entradas,unit,18000,5940,"2 chorizos santarrosanos acompañados de arepa asada y rodajas de limón"
Chicharrones,Entradas,unit,28000,9240,"Deliciosos chicharrones acompañados de papa salteada y salsa de guacamole"
Nachos,Snacks,unit,28000,9240,"Deliciosos nachos con queso cheddar, pico de gallo, guacamole, carne molida y salsa de la casa"
Churrasco,Carnes,unit,52000,17160,"Lomo ancho de res en corte mariposa a la parrilla, con papa salada o cascos de papa amarilla o papas a la francesa, maduros y ensalada de la casa"
Chuleta,Carnes,unit,38000,12540,"Carne de cerdo apanada acompañada de papas a la francesa y ensalada de la casa"
Filet Mignon,Carnes,unit,52000,17160,"Medallones de lomo fino de res albardados en tocineta, en reducción de vino y champiñones, con papa salada o cascos de papa amarilla o papas a la francesa y ensalada de la casa"
Baby Beef,Carnes,unit,52000,17160,"Suave y jugoso lomo fino asado a la parrilla en mantequilla, con papa salada o cascos de papa amarilla o papas a la francesa, maduros y ensalada de la casa"
Costillas Margarita Especial,Costillas,unit,45000,14850,"Costilla de cerdo a la parrilla, bañadas en salsa de tocineta, queso y BBQ ahumado, con papas fritas, bastones de zanahoria y apio con queso de untar"
Costillas San Luis BBQ Fire,Costillas,unit,45000,14850,"Costilla de cerdo San Luis a la parrilla, caramelizadas en salsa BBQ picante, con papas fritas, bastones de zanahoria y apio con queso de untar"
Costillas San Luis Miel Mostaza,Costillas,unit,45000,14850,"Costilla de cerdo San Luis a la parrilla, caramelizadas con miel y mostaza, con papas fritas y ensalada de la casa"
Costillas San Luis BBQ,Costillas,unit,45000,14850,"Costilla de cerdo San Luis a la parrilla, caramelizadas en salsa BBQ, con papas fritas, bastones de zanahoria y apio con queso de untar"
Mixtura Margarita,Mixtura,unit,76000,26600,"Para 2 personas. Costillas BBQ, alitas teriyaki, muslitos miel-mostaza, mini brochetas de res y cerdo, aros de cebolla, papas a la francesa y salsa de la casa"
Picada de Carnes,Picada,unit,76000,26600,"Para 2 personas. Carne de res, cerdo y pollo, chorizo, chicharrones, papas a la francesa y salsas de la casa"
Pollo Margarita,Pollo,unit,35000,11550,"Pechuga de pollo cocida o apanada en cordón blue y glaseado de mora, con papas a la francesa, arepita en cama de queso, plátano maduro y ensalada de la casa"
Filete de Pollo Gratinado,Pollo,unit,35000,11550,"Pechuga de pollo bañada en salsa de queso, con papas a la francesa, arepita en cama de queso, plátano maduro y ensalada de la casa"
Pechuga a la Parrilla,Pollo,unit,35000,11550,"Pechuga de pollo con papa salada o cascos de papa amarilla o papas a la francesa y ensalada de la casa"
Crispetas de Pollo,Pollo,unit,28000,9240,"Deliciosas crispetas de pollo apanado acompañadas de papas a la francesa"
Alitas BBQ x6,Alitas,unit,38000,12540,"Alitas caramelizadas en salsa BBQ acompañadas de papas a la francesa y ensalada de la casa"
Alitas Mango Picante x6,Alitas,unit,38000,12540,"Alitas caramelizadas en salsa de mango picante acompañadas de papas a la francesa y ensalada de la casa"
Alitas Miel Mostaza x6,Alitas,unit,38000,12540,"Alitas caramelizadas en salsa miel mostaza acompañadas de papas a la francesa y ensalada de la casa"
Cazuela de Mariscos,Mariscos,unit,60000,21000,"Camarón, palmito, calamar, concha y almeja con patacón, arroz y ensalada de la casa"
Camarones Crocantes en Coco,Mariscos,unit,55000,19250,"Camarones rebozados en coco con aderezo criollo, chips de plátano verde y ensalada de la casa"
Camarones Gratinados,Mariscos,unit,58000,20300,"Exquisitos camarones selectos en salsa de queso, con salsa de la casa, ensalada de la casa y chips de plátano verde"
Ceviche de Camarón,Mariscos,unit,58000,20300,"Camarón fresco marinado en limón, cebolla morada, tomate, pimentón, ají y cilantro, con chips de plátano verde"
Arroz Margarita de Camarón,Mariscos,unit,58000,20300,"Arroz salteado con camarones, cebolla morada, zanahoria, cilantro y pimentón, con patacones, ensalada de la casa y chips de plátano verde"
Salmón en Salsa de Camarones,Salmón,unit,65000,22750,"Salmón con salsa de camarones en leche de coco, anillos de cebolla, chips de plátano verde y ensalada de la casa"
Salmón en Salsa de Maracuyá,Salmón,unit,58000,20300,"Salmón con salsa de maracuyá o naranja, anillos de cebolla, chips de plátano verde y ensalada de la casa"
Salmón Margarita,Salmón,unit,58000,20300,"Salmón a la parrilla con salsa de cilantro, chips de plátano verde y ensalada de la casa"
Hamburguesa Margarita,Hamburguesas,unit,28000,9240,"Pan artesanal, carne de res y cerdo, baño en salsa de uvillas, piña, queso cheddar, doble crema, lechuga, tomate, jamón, salsa de la casa y papas a la francesa"
Hamburguesa Mexicana,Hamburguesas,unit,28000,9240,"Pan artesanal, carne de res y cerdo, queso parmesano, lechuga, tomate, jamón, jalapeños, guacamole y salsa de la casa con papas a la francesa"
Hamburguesa Clásica,Hamburguesas,unit,28000,9240,"Pan artesanal, carne de res y cerdo, jamón, queso, tocineta, queso cheddar, tomate, lechuga y salsa de la casa con papas a la francesa"
Sándwich de Pollo,Sándwiches,unit,28000,9240,"Pollo, queso mozzarella derretido, tomate, lechuga y salsa de la casa con papas a la francesa"
Sándwich Ropa Vieja,Sándwiches,unit,28000,9240,"Carne desmechada en salsa a la criolla, queso mozzarella, cebolla caramelizada, pepino, lechuga y salsa de la casa con papas a la francesa"
Crepes Margarita,Crepes,unit,28000,9240,"Crepe mixta al wok de res y pollo en salsa criolla con queso, tomates cherry, rúgula fresca y tocineta crocante"
Crepes de Camarones,Crepes,unit,45000,15750,"Exquisitos camarones selectos, queso mozzarella junto a nuestra salsa especial Margarita"
Crepes Pollo con Champiñones,Crepes,unit,28000,9240,"Delicioso pollo con champiñones en salsa velouté y queso mozzarella"
Spaghetti a la Boloñesa,Pastas,unit,31000,10230,"Pasta, carne molida hecha a base de tomate, pimentones y especias, con papas a la francesa"
Spaghetti a la Carbonara,Pastas,unit,31000,10230,"Pasta, tocineta preparada a base de leche y crema de leche con papas a la francesa"
Limonada Natural,Bebidas Frías,unit,6000,1980,"Limonada tradicional"
Limonada Campesina,Bebidas Frías,unit,7000,2310,"Limonada con panela"
Limonada Anisada,Bebidas Frías,unit,7000,2310,"Limonada con anís"
Limonada Cerezada Especial,Bebidas Frías,unit,13000,4290,"Limonada con cerezas"
Limonada Hierbabuena,Bebidas Frías,unit,13000,4290,"Limonada con hierbabuena fresca"
Limonada de Coco Especial,Bebidas Frías,unit,13000,4290,"Limonada con coco"
Batidos de Fruta,Bebidas Frías,unit,10000,3300,"En agua o leche. Maracuyá, fresa, mora, naranja o lulo"
Jugo Natural en Agua,Bebidas Frías,unit,7000,2310,"Maracuyá, fresa, mora, naranja o lulo"
Jugo Natural en Leche,Bebidas Frías,unit,8000,2640,"Maracuyá, fresa, mora, naranja o lulo"
Malteada de Bailey's,Bebidas Frías,unit,34000,11220,"Deliciosa malteada con crema de whisky"
Soda Italiana,Bebidas Frías,unit,18000,5940,"Soda con jarabe de frutas"
Milo Frío,Bebidas Frías,unit,8000,2640,"Bebida de chocolate con leche fría"
Frappuccino,Bebidas Frías,unit,13000,4290,"Café frappé con crema"
Jugo de Naranja,Bebidas Frías,unit,10000,3300,"Jugo natural de naranja"
Brownie con Helado,Postres,unit,12000,3960,"Brownie de chocolate con helado"
Malteada,Bebidas Frías,unit,15000,4950,"Deliciosa mezcla cremosa con pulpas frescas batidas, combinadas con lácteos y helado. Sabores: mora, mango, maracuyá, frutos rojos"
Granizado de Café,Bebidas Frías,unit,15000,4950,"Café granizado con hielo"
